sigma_w_sq,f_cons,eta_cleanup,regime,time_to_transition
4.0,500,0.9,B,100000
4.0,500,0.90999997,B,100000
4.0,500,0.91999996,B,100000
4.0,500,0.92999995,B,100000
4.0,500,0.93999994,B,100000
4.0,500,0.9499999,B,100000
4.0,500,0.9599999,B,100000
4.0,500,0.9699999,B,100000
4.0,500,0.9799999,B,100000
4.0,500,0.9899999,B,100000
4.0,1000,0.9,B,100000
4.0,1000,0.90999997,B,100000
4.0,1000,0.91999996,B,100000
4.0,1000,0.92999995,B,100000
4.0,1000,0.93999994,B,100000
4.0,1000,0.9499999,B,100000
4.0,1000,0.9599999,B,100000
4.0,1000,0.9699999,B,100000
4.0,1000,0.9799999,B,100000
4.0,1000,0.9899999,B,100000
4.0,2000,0.9,B,100000
4.0,2000,0.90999997,B,100000
4.0,2000,0.91999996,B,100000
4.0,2000,0.92999995,B,100000
4.0,2000,0.93999994,B,100000
4.0,2000,0.9499999,B,100000
4.0,2000,0.9599999,B,100000
4.0,2000,0.9699999,B,100000
4.0,2000,0.9799999,B,100000
4.0,2000,0.9899999,B,100000
4.0,5000,0.9,B,100000
4.0,5000,0.90999997,B,100000
4.0,5000,0.91999996,B,100000
4.0,5000,0.92999995,B,100000
4.0,5000,0.93999994,B,100000
4.0,5000,0.9499999,B,100000
4.0,5000,0.9599999,B,100000
4.0,5000,0.9699999,B,100000
4.0,5000,0.9799999,B,100000
4.0,5000,0.9899999,B,100000
4.05,500,0.9,B,100000
4.05,500,0.90999997,B,100000
4.05,500,0.91999996,B,100000
4.05,500,0.92999995,B,100000
4.05,500,0.93999994,B,100000
4.05,500,0.9499999,B,100000
4.05,500,0.9599999,B,100000
4.05,500,0.9699999,B,100000
4.05,500,0.9799999,B,100000
4.05,500,0.9899999,B,100000
4.05,1000,0.9,B,100000
4.05,1000,0.90999997,B,100000
4.05,1000,0.91999996,B,100000
4.05,1000,0.92999995,B,100000
4.05,1000,0.93999994,B,100000
4.05,1000,0.9499999,B,100000
4.05,1000,0.9599999,B,100000
4.05,1000,0.9699999,B,100000
4.05,1000,0.9799999,B,100000
4.05,1000,0.9899999,B,100000
4.05,2000,0.9,B,100000
4.05,2000,0.90999997,B,100000
4.05,2000,0.91999996,B,100000
4.05,2000,0.92999995,B,100000
4.05,2000,0.93999994,B,100000
4.05,2000,0.9499999,B,100000
4.05,2000,0.9599999,B,100000
4.05,2000,0.9699999,B,100000
4.05,2000,0.9799999,B,100000
4.05,2000,0.9899999,B,100000
4.05,5000,0.9,B,100000
4.05,5000,0.90999997,B,100000
4.05,5000,0.91999996,B,100000
4.05,5000,0.92999995,B,100000
4.05,5000,0.93999994,B,100000
4.05,5000,0.9499999,B,100000
4.05,5000,0.9599999,B,100000
4.05,5000,0.9699999,B,100000
4.05,5000,0.9799999,B,100000
4.05,5000,0.9899999,B,100000
4.1000004,500,0.9,B,100000
4.1000004,500,0.90999997,B,100000
4.1000004,500,0.91999996,B,100000
4.1000004,500,0.92999995,B,100000
4.1000004,500,0.93999994,B,100000
4.1000004,500,0.9499999,B,100000
4.1000004,500,0.9599999,B,100000
4.1000004,500,0.9699999,B,100000
4.1000004,500,0.9799999,B,100000
4.1000004,500,0.9899999,B,100000
4.1000004,1000,0.9,B,100000
4.1000004,1000,0.90999997,B,100000
4.1000004,1000,0.91999996,B,100000
4.1000004,1000,0.92999995,B,100000
4.1000004,1000,0.93999994,B,100000
4.1000004,1000,0.9499999,B,100000
4.1000004,1000,0.9599999,B,100000
4.1000004,1000,0.9699999,B,100000
4.1000004,1000,0.9799999,B,100000
4.1000004,1000,0.9899999,B,100000
4.1000004,2000,0.9,B,100000
4.1000004,2000,0.90999997,B,100000
4.1000004,2000,0.91999996,B,100000
4.1000004,2000,0.92999995,B,100000
4.1000004,2000,0.93999994,B,100000
4.1000004,2000,0.9499999,B,100000
4.1000004,2000,0.9599999,B,100000
4.1000004,2000,0.9699999,B,100000
4.1000004,2000,0.9799999,B,100000
4.1000004,2000,0.9899999,B,100000
4.1000004,5000,0.9,B,100000
4.1000004,5000,0.90999997,B,100000
4.1000004,5000,0.91999996,B,100000
4.1000004,5000,0.92999995,B,100000
4.1000004,5000,0.93999994,B,100000
4.1000004,5000,0.9499999,B,100000
4.1000004,5000,0.9599999,B,100000
4.1000004,5000,0.9699999,B,100000
4.1000004,5000,0.9799999,B,100000
4.1000004,5000,0.9899999,B,100000
4.1500006,500,0.9,B,100000
4.1500006,500,0.90999997,B,100000
4.1500006,500,0.91999996,B,100000
4.1500006,500,0.92999995,B,100000
4.1500006,500,0.93999994,B,100000
4.1500006,500,0.9499999,B,100000
4.1500006,500,0.9599999,B,100000
4.1500006,500,0.9699999,B,100000
4.1500006,500,0.9799999,B,100000
4.1500006,500,0.9899999,B,100000
4.1500006,1000,0.9,B,100000
4.1500006,1000,0.90999997,B,100000
4.1500006,1000,0.91999996,B,100000
4.1500006,1000,0.92999995,B,100000
4.1500006,1000,0.93999994,B,100000
4.1500006,1000,0.9499999,B,100000
4.1500006,1000,0.9599999,B,100000
4.1500006,1000,0.9699999,B,100000
4.1500006,1000,0.9799999,B,100000
4.1500006,1000,0.9899999,B,100000
4.1500006,2000,0.9,B,100000
4.1500006,2000,0.90999997,B,100000
4.1500006,2000,0.91999996,B,100000
4.1500006,2000,0.92999995,B,100000
4.1500006,2000,0.93999994,B,100000
4.1500006,2000,0.9499999,B,100000
4.1500006,2000,0.9599999,B,100000
4.1500006,2000,0.9699999,B,100000
4.1500006,2000,0.9799999,B,100000
4.1500006,2000,0.9899999,B,100000
4.1500006,5000,0.9,B,100000
4.1500006,5000,0.90999997,B,100000
4.1500006,5000,0.91999996,B,100000
4.1500006,5000,0.92999995,B,100000
4.1500006,5000,0.93999994,B,100000
4.1500006,5000,0.9499999,B,100000
4.1500006,5000,0.9599999,B,100000
4.1500006,5000,0.9699999,B,100000
4.1500006,5000,0.9799999,B,100000
4.1500006,5000,0.9899999,B,100000
4.200001,500,0.9,B,100000
4.200001,500,0.90999997,B,100000
4.200001,500,0.91999996,B,100000
4.200001,500,0.92999995,B,100000
4.200001,500,0.93999994,B,100000
4.200001,500,0.9499999,B,100000
4.200001,500,0.9599999,B,100000
4.200001,500,0.9699999,B,100000
4.200001,500,0.9799999,B,100000
4.200001,500,0.9899999,B,100000
4.200001,1000,0.9,B,100000
4.200001,1000,0.90999997,B,100000
4.200001,1000,0.91999996,B,100000
4.200001,1000,0.92999995,B,100000
4.200001,1000,0.93999994,B,100000
4.200001,1000,0.9499999,B,100000
4.200001,1000,0.9599999,B,100000
4.200001,1000,0.9699999,B,100000
4.200001,1000,0.9799999,B,100000
4.200001,1000,0.9899999,B,100000
4.200001,2000,0.9,B,100000
4.200001,2000,0.90999997,B,100000
4.200001,2000,0.91999996,B,100000
4.200001,2000,0.92999995,B,100000
4.200001,2000,0.93999994,B,100000
4.200001,2000,0.9499999,B,100000
4.200001,2000,0.9599999,B,100000
4.200001,2000,0.9699999,B,100000
4.200001,2000,0.9799999,B,100000
4.200001,2000,0.9899999,B,100000
4.200001,5000,0.9,B,100000
4.200001,5000,0.90999997,B,100000
4.200001,5000,0.91999996,B,100000
4.200001,5000,0.92999995,B,100000
4.200001,5000,0.93999994,B,100000
4.200001,5000,0.9499999,B,100000
4.200001,5000,0.9599999,B,100000
4.200001,5000,0.9699999,B,100000
4.200001,5000,0.9799999,B,100000
4.200001,5000,0.9899999,B,100000
4.250001,500,0.9,B,100000
4.250001,500,0.90999997,B,100000
4.250001,500,0.91999996,B,100000
4.250001,500,0.92999995,B,100000
4.250001,500,0.93999994,B,100000
4.250001,500,0.9499999,B,100000
4.250001,500,0.9599999,B,100000
4.250001,500,0.9699999,B,100000
4.250001,500,0.9799999,B,100000
4.250001,500,0.9899999,B,100000
4.250001,1000,0.9,B,100000
4.250001,1000,0.90999997,B,100000
4.250001,1000,0.91999996,B,100000
4.250001,1000,0.92999995,B,100000
4.250001,1000,0.93999994,B,100000
4.250001,1000,0.9499999,B,100000
4.250001,1000,0.9599999,B,100000
4.250001,1000,0.9699999,B,100000
4.250001,1000,0.9799999,B,100000
4.250001,1000,0.9899999,B,100000
4.250001,2000,0.9,B,100000
4.250001,2000,0.90999997,B,100000
4.250001,2000,0.91999996,B,100000
4.250001,2000,0.92999995,B,100000
4.250001,2000,0.93999994,B,100000
4.250001,2000,0.9499999,B,100000
4.250001,2000,0.9599999,B,100000
4.250001,2000,0.9699999,B,100000
4.250001,2000,0.9799999,B,100000
4.250001,2000,0.9899999,B,100000
4.250001,5000,0.9,B,100000
4.250001,5000,0.90999997,B,100000
4.250001,5000,0.91999996,B,100000
4.250001,5000,0.92999995,B,100000
4.250001,5000,0.93999994,B,100000
4.250001,5000,0.9499999,B,100000
4.250001,5000,0.9599999,B,100000
4.250001,5000,0.9699999,B,100000
4.250001,5000,0.9799999,B,100000
4.250001,5000,0.9899999,B,100000
4.300001,500,0.9,B,100000
4.300001,500,0.90999997,B,100000
4.300001,500,0.91999996,B,100000
4.300001,500,0.92999995,B,100000
4.300001,500,0.93999994,B,100000
4.300001,500,0.9499999,B,100000
4.300001,500,0.9599999,B,100000
4.300001,500,0.9699999,B,100000
4.300001,500,0.9799999,B,100000
4.300001,500,0.9899999,B,100000
4.300001,1000,0.9,B,100000
4.300001,1000,0.90999997,B,100000
4.300001,1000,0.91999996,B,100000
4.300001,1000,0.92999995,B,100000
4.300001,1000,0.93999994,B,100000
4.300001,1000,0.9499999,B,100000
4.300001,1000,0.9599999,B,100000
4.300001,1000,0.9699999,B,100000
4.300001,1000,0.9799999,B,100000
4.300001,1000,0.9899999,B,100000
4.300001,2000,0.9,B,100000
4.300001,2000,0.90999997,B,100000
4.300001,2000,0.91999996,B,100000
4.300001,2000,0.92999995,B,100000
4.300001,2000,0.93999994,B,100000
4.300001,2000,0.9499999,B,100000
4.300001,2000,0.9599999,B,100000
4.300001,2000,0.9699999,B,100000
4.300001,2000,0.9799999,B,100000
4.300001,2000,0.9899999,B,100000
4.300001,5000,0.9,B,100000
4.300001,5000,0.90999997,B,100000
4.300001,5000,0.91999996,B,100000
4.300001,5000,0.92999995,B,100000
4.300001,5000,0.93999994,B,100000
4.300001,5000,0.9499999,B,100000
4.300001,5000,0.9599999,B,100000
4.300001,5000,0.9699999,B,100000
4.300001,5000,0.9799999,B,100000
4.300001,5000,0.9899999,B,100000
4.3500013,500,0.9,B,100000
4.3500013,500,0.90999997,B,100000
4.3500013,500,0.91999996,B,100000
4.3500013,500,0.92999995,B,100000
4.3500013,500,0.93999994,B,100000
4.3500013,500,0.9499999,B,100000
4.3500013,500,0.9599999,B,100000
4.3500013,500,0.9699999,B,100000
4.3500013,500,0.9799999,B,100000
4.3500013,500,0.9899999,B,100000
4.3500013,1000,0.9,B,100000
4.3500013,1000,0.90999997,B,100000
4.3500013,1000,0.91999996,B,100000
4.3500013,1000,0.92999995,B,100000
4.3500013,1000,0.93999994,B,100000
4.3500013,1000,0.9499999,B,100000
4.3500013,1000,0.9599999,B,100000
4.3500013,1000,0.9699999,B,100000
4.3500013,1000,0.9799999,B,100000
4.3500013,1000,0.9899999,B,100000
4.3500013,2000,0.9,B,100000
4.3500013,2000,0.90999997,B,100000
4.3500013,2000,0.91999996,B,100000
4.3500013,2000,0.92999995,B,100000
4.3500013,2000,0.93999994,B,100000
4.3500013,2000,0.9499999,B,100000
4.3500013,2000,0.9599999,B,100000
4.3500013,2000,0.9699999,B,100000
4.3500013,2000,0.9799999,B,100000
4.3500013,2000,0.9899999,B,100000
4.3500013,5000,0.9,B,100000
4.3500013,5000,0.90999997,B,100000
4.3500013,5000,0.91999996,B,100000
4.3500013,5000,0.92999995,B,100000
4.3500013,5000,0.93999994,B,100000
4.3500013,5000,0.9499999,B,100000
4.3500013,5000,0.9599999,B,100000
4.3500013,5000,0.9699999,B,100000
4.3500013,5000,0.9799999,B,100000
4.3500013,5000,0.9899999,B,100000
4.4000015,500,0.9,B,100000
4.4000015,500,0.90999997,B,100000
4.4000015,500,0.91999996,B,100000
4.4000015,500,0.92999995,B,100000
4.4000015,500,0.93999994,B,100000
4.4000015,500,0.9499999,B,100000
4.4000015,500,0.9599999,B,100000
4.4000015,500,0.9699999,B,100000
4.4000015,500,0.9799999,B,100000
4.4000015,500,0.9899999,B,100000
4.4000015,1000,0.9,B,100000
4.4000015,1000,0.90999997,B,100000
4.4000015,1000,0.91999996,B,100000
4.4000015,1000,0.92999995,B,100000
4.4000015,1000,0.93999994,B,100000
4.4000015,1000,0.9499999,B,100000
4.4000015,1000,0.9599999,B,100000
4.4000015,1000,0.9699999,B,100000
4.4000015,1000,0.9799999,B,100000
4.4000015,1000,0.9899999,B,100000
4.4000015,2000,0.9,B,100000
4.4000015,2000,0.90999997,B,100000
4.4000015,2000,0.91999996,B,100000
4.4000015,2000,0.92999995,B,100000
4.4000015,2000,0.93999994,B,100000
4.4000015,2000,0.9499999,B,100000
4.4000015,2000,0.9599999,B,100000
4.4000015,2000,0.9699999,B,100000
4.4000015,2000,0.9799999,B,100000
4.4000015,2000,0.9899999,B,100000
4.4000015,5000,0.9,B,100000
4.4000015,5000,0.90999997,B,100000
4.4000015,5000,0.91999996,B,100000
4.4000015,5000,0.92999995,B,100000
4.4000015,5000,0.93999994,B,100000
4.4000015,5000,0.9499999,B,100000
4.4000015,5000,0.9599999,B,100000
4.4000015,5000,0.9699999,B,100000
4.4000015,5000,0.9799999,B,100000
4.4000015,5000,0.9899999,B,100000
4.4500017,500,0.9,B,100000
4.4500017,500,0.90999997,B,100000
4.4500017,500,0.91999996,B,100000
4.4500017,500,0.92999995,B,100000
4.4500017,500,0.93999994,B,100000
4.4500017,500,0.9499999,B,100000
4.4500017,500,0.9599999,B,100000
4.4500017,500,0.9699999,B,100000
4.4500017,500,0.9799999,B,100000
4.4500017,500,0.9899999,B,100000
4.4500017,1000,0.9,B,100000
4.4500017,1000,0.90999997,B,100000
4.4500017,1000,0.91999996,B,100000
4.4500017,1000,0.92999995,B,100000
4.4500017,1000,0.93999994,B,100000
4.4500017,1000,0.9499999,B,100000
4.4500017,1000,0.9599999,B,100000
4.4500017,1000,0.9699999,B,100000
4.4500017,1000,0.9799999,B,100000
4.4500017,1000,0.9899999,B,100000
4.4500017,2000,0.9,B,100000
4.4500017,2000,0.90999997,B,100000
4.4500017,2000,0.91999996,B,100000
4.4500017,2000,0.92999995,B,100000
4.4500017,2000,0.93999994,B,100000
4.4500017,2000,0.9499999,B,100000
4.4500017,2000,0.9599999,B,100000
4.4500017,2000,0.9699999,B,100000
4.4500017,2000,0.9799999,B,100000
4.4500017,2000,0.9899999,B,100000
4.4500017,5000,0.9,B,100000
4.4500017,5000,0.90999997,B,100000
4.4500017,5000,0.91999996,B,100000
4.4500017,5000,0.92999995,B,100000
4.4500017,5000,0.93999994,B,100000
4.4500017,5000,0.9499999,B,100000
4.4500017,5000,0.9599999,B,100000
4.4500017,5000,0.9699999,B,100000
4.4500017,5000,0.9799999,B,100000
4.4500017,5000,0.9899999,B,100000
4.500002,500,0.9,B,100000
4.500002,500,0.90999997,B,100000
4.500002,500,0.91999996,B,100000
4.500002,500,0.92999995,B,100000
4.500002,500,0.93999994,B,100000
4.500002,500,0.9499999,B,100000
4.500002,500,0.9599999,B,100000
4.500002,500,0.9699999,B,100000
4.500002,500,0.9799999,B,100000
4.500002,500,0.9899999,B,100000
4.500002,1000,0.9,B,100000
4.500002,1000,0.90999997,B,100000
4.500002,1000,0.91999996,B,100000
4.500002,1000,0.92999995,B,100000
4.500002,1000,0.93999994,B,100000
4.500002,1000,0.9499999,B,100000
4.500002,1000,0.9599999,B,100000
4.500002,1000,0.9699999,B,100000
4.500002,1000,0.9799999,B,100000
4.500002,1000,0.9899999,B,100000
4.500002,2000,0.9,B,100000
4.500002,2000,0.90999997,B,100000
4.500002,2000,0.91999996,B,100000
4.500002,2000,0.92999995,B,100000
4.500002,2000,0.93999994,B,100000
