sigma_w_sq,f_cons,eta_cleanup,regime,time_to_transition
4.500002,2000,0.9499999,B,100000
4.500002,2000,0.9599999,B,100000
4.500002,2000,0.9699999,B,100000
4.500002,2000,0.9799999,B,100000
4.500002,2000,0.9899999,B,100000
4.500002,5000,0.9,B,100000
4.500002,5000,0.90999997,B,100000
4.500002,5000,0.91999996,B,100000
4.500002,5000,0.92999995,B,100000
4.500002,5000,0.93999994,B,100000
4.500002,5000,0.9499999,B,100000
4.500002,5000,0.9599999,B,100000
4.500002,5000,0.9699999,B,100000
4.500002,5000,0.9799999,B,100000
4.500002,5000,0.9899999,B,100000
4.550002,500,0.9,B,100000
4.550002,500,0.90999997,B,100000
4.550002,500,0.91999996,B,100000
4.550002,500,0.92999995,B,100000
4.550002,500,0.93999994,B,100000
4.550002,500,0.9499999,B,100000
4.550002,500,0.9599999,B,100000
4.550002,500,0.9699999,B,100000
4.550002,500,0.9799999,B,100000
4.550002,500,0.9899999,B,100000
4.550002,1000,0.9,B,100000
4.550002,1000,0.90999997,B,100000
4.550002,1000,0.91999996,B,100000
4.550002,1000,0.92999995,B,100000
4.550002,1000,0.93999994,B,100000
4.550002,1000,0.9499999,B,100000
4.550002,1000,0.9599999,B,100000
4.550002,1000,0.9699999,B,100000
4.550002,1000,0.9799999,B,100000
4.550002,1000,0.9899999,B,100000
4.550002,2000,0.9,B,100000
4.550002,2000,0.90999997,B,100000
4.550002,2000,0.91999996,B,100000
4.550002,2000,0.92999995,B,100000
4.550002,2000,0.93999994,B,100000
4.550002,2000,0.9499999,B,100000
4.550002,2000,0.9599999,B,100000
4.550002,2000,0.9699999,B,100000
4.550002,2000,0.9799999,B,100000
4.550002,2000,0.9899999,B,100000
4.550002,5000,0.9,B,100000
4.550002,5000,0.90999997,B,100000
4.550002,5000,0.91999996,B,100000
4.550002,5000,0.92999995,B,100000
4.550002,5000,0.93999994,B,100000
4.550002,5000,0.9499999,B,100000
4.550002,5000,0.9599999,B,100000
4.550002,5000,0.9699999,B,100000
4.550002,5000,0.9799999,B,100000
4.550002,5000,0.9899999,B,100000
4.6000023,500,0.9,B,100000
4.6000023,500,0.90999997,B,100000
4.6000023,500,0.91999996,B,100000
4.6000023,500,0.92999995,B,100000
4.6000023,500,0.93999994,B,100000
4.6000023,500,0.9499999,B,100000
4.6000023,500,0.9599999,B,100000
4.6000023,500,0.9699999,B,100000
4.6000023,500,0.9799999,B,100000
4.6000023,500,0.9899999,B,100000
4.6000023,1000,0.9,B,100000
4.6000023,1000,0.90999997,B,100000
4.6000023,1000,0.91999996,B,100000
4.6000023,1000,0.92999995,B,100000
4.6000023,1000,0.93999994,B,100000
4.6000023,1000,0.9499999,B,100000
4.6000023,1000,0.9599999,B,100000
4.6000023,1000,0.9699999,B,100000
4.6000023,1000,0.9799999,B,100000
4.6000023,1000,0.9899999,B,100000
4.6000023,2000,0.9,B,100000
4.6000023,2000,0.90999997,B,100000
4.6000023,2000,0.91999996,B,100000
4.6000023,2000,0.92999995,B,100000
4.6000023,2000,0.93999994,B,100000
4.6000023,2000,0.9499999,B,100000
4.6000023,2000,0.9599999,B,100000
4.6000023,2000,0.9699999,B,100000
4.6000023,2000,0.9799999,B,100000
4.6000023,2000,0.9899999,B,100000
4.6000023,5000,0.9,B,100000
4.6000023,5000,0.90999997,B,100000
4.6000023,5000,0.91999996,B,100000
4.6000023,5000,0.92999995,B,100000
4.6000023,5000,0.93999994,B,100000
4.6000023,5000,0.9499999,B,100000
4.6000023,5000,0.9599999,B,100000
4.6000023,5000,0.9699999,B,100000
4.6000023,5000,0.9799999,B,100000
4.6000023,5000,0.9899999,B,100000
4.6500025,500,0.9,B,100000
4.6500025,500,0.90999997,B,100000
4.6500025,500,0.91999996,B,100000
4.6500025,500,0.92999995,B,100000
4.6500025,500,0.93999994,B,100000
4.6500025,500,0.9499999,B,100000
4.6500025,500,0.9599999,B,100000
4.6500025,500,0.9699999,B,100000
4.6500025,500,0.9799999,B,100000
4.6500025,500,0.9899999,B,100000
4.6500025,1000,0.9,B,100000
4.6500025,1000,0.90999997,B,100000
4.6500025,1000,0.91999996,B,100000
4.6500025,1000,0.92999995,B,100000
4.6500025,1000,0.93999994,B,100000
4.6500025,1000,0.9499999,B,100000
4.6500025,1000,0.9599999,B,100000
4.6500025,1000,0.9699999,B,100000
4.6500025,1000,0.9799999,B,100000
4.6500025,1000,0.9899999,B,100000
4.6500025,2000,0.9,B,100000
4.6500025,2000,0.90999997,B,100000
4.6500025,2000,0.91999996,B,100000
4.6500025,2000,0.92999995,B,100000
4.6500025,2000,0.93999994,B,100000
4.6500025,2000,0.9499999,B,100000
4.6500025,2000,0.9599999,B,100000
4.6500025,2000,0.9699999,B,100000
4.6500025,2000,0.9799999,B,100000
4.6500025,2000,0.9899999,B,100000
4.6500025,5000,0.9,B,100000
4.6500025,5000,0.90999997,B,100000
4.6500025,5000,0.91999996,B,100000
4.6500025,5000,0.92999995,B,100000
4.6500025,5000,0.93999994,B,100000
4.6500025,5000,0.9499999,B,100000
4.6500025,5000,0.9599999,B,100000
4.6500025,5000,0.9699999,B,100000
4.6500025,5000,0.9799999,B,100000
4.6500025,5000,0.9899999,B,100000
4.7000027,500,0.9,B,100000
4.7000027,500,0.90999997,B,100000
4.7000027,500,0.91999996,B,100000
4.7000027,500,0.92999995,B,100000
4.7000027,500,0.93999994,B,100000
4.7000027,500,0.9499999,B,100000
4.7000027,500,0.9599999,B,100000
4.7000027,500,0.9699999,B,100000
4.7000027,500,0.9799999,B,100000
4.7000027,500,0.9899999,B,100000
4.7000027,1000,0.9,B,100000
4.7000027,1000,0.90999997,B,100000
4.7000027,1000,0.91999996,B,100000
4.7000027,1000,0.92999995,B,100000
4.7000027,1000,0.93999994,B,100000
4.7000027,1000,0.9499999,B,100000
4.7000027,1000,0.9599999,B,100000
4.7000027,1000,0.9699999,B,100000
4.7000027,1000,0.9799999,B,100000
4.7000027,1000,0.9899999,B,100000
4.7000027,2000,0.9,B,100000
4.7000027,2000,0.90999997,B,100000
4.7000027,2000,0.91999996,B,100000
4.7000027,2000,0.92999995,B,100000
4.7000027,2000,0.93999994,B,100000
4.7000027,2000,0.9499999,B,100000
4.7000027,2000,0.9599999,B,100000
4.7000027,2000,0.9699999,B,100000
4.7000027,2000,0.9799999,B,100000
4.7000027,2000,0.9899999,B,100000
4.7000027,5000,0.9,B,100000
4.7000027,5000,0.90999997,B,100000
4.7000027,5000,0.91999996,B,100000
4.7000027,5000,0.92999995,B,100000
4.7000027,5000,0.93999994,B,100000
4.7000027,5000,0.9499999,B,100000
4.7000027,5000,0.9599999,B,100000
4.7000027,5000,0.9699999,B,100000
4.7000027,5000,0.9799999,B,100000
4.7000027,5000,0.9899999,B,100000
4.750003,500,0.9,B,100000
4.750003,500,0.90999997,B,100000
4.750003,500,0.91999996,B,100000
4.750003,500,0.92999995,B,100000
4.750003,500,0.93999994,B,100000
4.750003,500,0.9499999,B,100000
4.750003,500,0.9599999,B,100000
4.750003,500,0.9699999,B,100000
4.750003,500,0.9799999,B,100000
4.750003,500,0.9899999,B,100000
4.750003,1000,0.9,B,100000
4.750003,1000,0.90999997,B,100000
4.750003,1000,0.91999996,B,100000
4.750003,1000,0.92999995,B,100000
4.750003,1000,0.93999994,B,100000
4.750003,1000,0.9499999,B,100000
4.750003,1000,0.9599999,B,100000
4.750003,1000,0.9699999,B,100000
4.750003,1000,0.9799999,B,100000
4.750003,1000,0.9899999,B,100000
4.750003,2000,0.9,B,100000
4.750003,2000,0.90999997,B,100000
4.750003,2000,0.91999996,B,100000
4.750003,2000,0.92999995,B,100000
4.750003,2000,0.93999994,B,100000
4.750003,2000,0.9499999,B,100000
4.750003,2000,0.9599999,B,100000
4.750003,2000,0.9699999,B,100000
4.750003,2000,0.9799999,B,100000
4.750003,2000,0.9899999,B,100000
4.750003,5000,0.9,B,100000
4.750003,5000,0.90999997,B,100000
4.750003,5000,0.91999996,B,100000
4.750003,5000,0.92999995,B,100000
4.750003,5000,0.93999994,B,100000
4.750003,5000,0.9499999,B,100000
4.750003,5000,0.9599999,B,100000
4.750003,5000,0.9699999,B,100000
4.750003,5000,0.9799999,B,100000
4.750003,5000,0.9899999,B,100000
4.800003,500,0.9,B,100000
4.800003,500,0.90999997,B,100000
4.800003,500,0.91999996,B,100000
4.800003,500,0.92999995,B,100000
4.800003,500,0.93999994,B,100000
4.800003,500,0.9499999,B,100000
4.800003,500,0.9599999,B,100000
4.800003,500,0.9699999,B,100000
4.800003,500,0.9799999,B,100000
4.800003,500,0.9899999,B,100000
4.800003,1000,0.9,B,100000
4.800003,1000,0.90999997,B,100000
4.800003,1000,0.91999996,B,100000
4.800003,1000,0.92999995,B,100000
4.800003,1000,0.93999994,B,100000
4.800003,1000,0.9499999,B,100000
4.800003,1000,0.9599999,B,100000
4.800003,1000,0.9699999,B,100000
4.800003,1000,0.9799999,B,100000
4.800003,1000,0.9899999,B,100000
4.800003,2000,0.9,B,100000
4.800003,2000,0.90999997,B,100000
4.800003,2000,0.91999996,B,100000
4.800003,2000,0.92999995,B,100000
4.800003,2000,0.93999994,B,100000
4.800003,2000,0.9499999,B,100000
4.800003,2000,0.9599999,B,100000
4.800003,2000,0.9699999,B,100000
4.800003,2000,0.9799999,B,100000
4.800003,2000,0.9899999,B,100000
4.800003,5000,0.9,B,100000
4.800003,5000,0.90999997,B,100000
4.800003,5000,0.91999996,B,100000
4.800003,5000,0.92999995,B,100000
4.800003,5000,0.93999994,B,100000
4.800003,5000,0.9499999,B,100000
4.800003,5000,0.9599999,B,100000
4.800003,5000,0.9699999,B,100000
4.800003,5000,0.9799999,B,100000
4.800003,5000,0.9899999,B,100000
4.8500032,500,0.9,B,100000
4.8500032,500,0.90999997,B,100000
4.8500032,500,0.91999996,B,100000
4.8500032,500,0.92999995,B,100000
4.8500032,500,0.93999994,B,100000
4.8500032,500,0.9499999,B,100000
4.8500032,500,0.9599999,B,100000
4.8500032,500,0.9699999,B,100000
4.8500032,500,0.9799999,B,100000
4.8500032,500,0.9899999,B,100000
4.8500032,1000,0.9,B,100000
4.8500032,1000,0.90999997,B,100000
4.8500032,1000,0.91999996,B,100000
4.8500032,1000,0.92999995,B,100000
4.8500032,1000,0.93999994,B,100000
4.8500032,1000,0.9499999,B,100000
4.8500032,1000,0.9599999,B,100000
4.8500032,1000,0.9699999,B,100000
4.8500032,1000,0.9799999,B,100000
4.8500032,1000,0.9899999,B,100000
4.8500032,2000,0.9,B,100000
4.8500032,2000,0.90999997,B,100000
4.8500032,2000,0.91999996,B,100000
4.8500032,2000,0.92999995,B,100000
4.8500032,2000,0.93999994,B,100000
4.8500032,2000,0.9499999,B,100000
4.8500032,2000,0.9599999,B,100000
4.8500032,2000,0.9699999,B,100000
4.8500032,2000,0.9799999,B,100000
4.8500032,2000,0.9899999,B,100000
4.8500032,5000,0.9,B,100000
4.8500032,5000,0.90999997,B,100000
4.8500032,5000,0.91999996,B,100000
4.8500032,5000,0.92999995,B,100000
4.8500032,5000,0.93999994,B,100000
4.8500032,5000,0.9499999,B,100000
4.8500032,5000,0.9599999,B,100000
4.8500032,5000,0.9699999,B,100000
4.8500032,5000,0.9799999,B,100000
4.8500032,5000,0.9899999,B,100000
4.9000034,500,0.9,B,100000
4.9000034,500,0.90999997,B,100000
4.9000034,500,0.91999996,B,100000
4.9000034,500,0.92999995,B,100000
4.9000034,500,0.93999994,B,100000
4.9000034,500,0.9499999,B,100000
4.9000034,500,0.9599999,B,100000
4.9000034,500,0.9699999,B,100000
4.9000034,500,0.9799999,B,100000
4.9000034,500,0.9899999,B,100000
4.9000034,1000,0.9,B,100000
4.9000034,1000,0.90999997,B,100000
4.9000034,1000,0.91999996,B,100000
4.9000034,1000,0.92999995,B,100000
4.9000034,1000,0.93999994,B,100000
4.9000034,1000,0.9499999,B,100000
4.9000034,1000,0.9599999,B,100000
4.9000034,1000,0.9699999,B,100000
4.9000034,1000,0.9799999,B,100000
4.9000034,1000,0.9899999,B,100000
4.9000034,2000,0.9,B,100000
4.9000034,2000,0.90999997,B,100000
4.9000034,2000,0.91999996,B,100000
4.9000034,2000,0.92999995,B,100000
4.9000034,2000,0.93999994,B,100000
4.9000034,2000,0.9499999,B,100000
4.9000034,2000,0.9599999,B,100000
4.9000034,2000,0.9699999,B,100000
4.9000034,2000,0.9799999,B,100000
4.9000034,2000,0.9899999,B,100000
4.9000034,5000,0.9,B,100000
4.9000034,5000,0.90999997,B,100000
4.9000034,5000,0.91999996,B,100000
4.9000034,5000,0.92999995,B,100000
4.9000034,5000,0.93999994,B,100000
4.9000034,5000,0.9499999,B,100000
4.9000034,5000,0.9599999,B,100000
4.9000034,5000,0.9699999,B,100000
4.9000034,5000,0.9799999,B,100000
4.9000034,5000,0.9899999,B,100000
4.9500036,500,0.9,B,100000
4.9500036,500,0.90999997,B,100000
4.9500036,500,0.91999996,B,100000
4.9500036,500,0.92999995,B,100000
4.9500036,500,0.93999994,B,100000
4.9500036,500,0.9499999,B,100000
4.9500036,500,0.9599999,B,100000
4.9500036,500,0.9699999,B,100000
4.9500036,500,0.9799999,B,100000
4.9500036,500,0.9899999,B,100000
4.9500036,1000,0.9,B,100000
4.9500036,1000,0.90999997,B,100000
4.9500036,1000,0.91999996,B,100000
4.9500036,1000,0.92999995,B,100000
4.9500036,1000,0.93999994,B,100000
4.9500036,1000,0.9499999,B,100000
4.9500036,1000,0.9599999,B,100000
4.9500036,1000,0.9699999,B,100000
4.9500036,1000,0.9799999,B,100000
4.9500036,1000,0.9899999,B,100000
4.9500036,2000,0.9,B,100000
4.9500036,2000,0.90999997,B,100000
4.9500036,2000,0.91999996,B,100000
4.9500036,2000,0.92999995,B,100000
4.9500036,2000,0.93999994,B,100000
4.9500036,2000,0.9499999,B,100000
4.9500036,2000,0.9599999,B,100000
4.9500036,2000,0.9699999,B,100000
4.9500036,2000,0.9799999,B,100000
4.9500036,2000,0.9899999,B,100000
4.9500036,5000,0.9,B,100000
4.9500036,5000,0.90999997,B,100000
4.9500036,5000,0.91999996,B,100000
4.9500036,5000,0.92999995,B,100000
4.9500036,5000,0.93999994,B,100000
4.9500036,5000,0.9499999,B,100000
4.9500036,5000,0.9599999,B,100000
4.9500036,5000,0.9699999,B,100000
4.9500036,5000,0.9799999,B,100000
4.9500036,5000,0.9899999,B,100000
5.000004,500,0.9,B,100000
5.000004,500,0.90999997,B,100000
5.000004,500,0.91999996,B,100000
5.000004,500,0.92999995,B,100000
5.000004,500,0.93999994,B,100000
5.000004,500,0.9499999,B,100000
5.000004,500,0.9599999,B,100000
5.000004,500,0.9699999,B,100000
5.000004,500,0.9799999,B,100000
5.000004,500,0.9899999,B,100000
5.000004,1000,0.9,B,100000
5.000004,1000,0.90999997,B,100000
5.000004,1000,0.91999996,B,100000
5.000004,1000,0.92999995,B,100000
5.000004,1000,0.93999994,B,100000
5.000004,1000,0.9499999,B,100000
5.000004,1000,0.9599999,B,100000
5.000004,1000,0.9699999,B,100000
5.000004,1000,0.9799999,B,100000
5.000004,1000,0.9899999,B,100000
5.000004,2000,0.9,B,100000
5.000004,2000,0.90999997,B,100000
5.000004,2000,0.91999996,B,100000
5.000004,2000,0.92999995,B,100000
5.000004,2000,0.93999994,B,100000
5.000004,2000,0.9499999,B,100000
5.000004,2000,0.9599999,B,100000
5.000004,2000,0.9699999,B,100000
5.000004,2000,0.9799999,B,100000
5.000004,2000,0.9899999,B,100000
5.000004,5000,0.9,B,100000
5.000004,5000,0.90999997,B,100000
5.000004,5000,0.91999996,B,100000
5.000004,5000,0.92999995,B,100000
5.000004,5000,0.93999994,B,100000
5.000004,5000,0.9499999,B,100000
5.000004,5000,0.9599999,B,100000
5.000004,5000,0.9699999,B,100000
5.000004,5000,0.9799999,B,100000
5.000004,5000,0.9899999,B,100000
